KM;LAT;LONG;ESTACA;TEXTO FORMATO GOOGLE;link para google maps
147,16;-23,195000;-45,870907;7358,000000;-45.8709073752809,-23.1949995157303;https://www.google.com.br/maps/@-45.8709073752809,-23.1949995157303,20z
147,17;-23,195042;-45,870993;7358,500000;-45.8709933191011,-23.1950423696629;https://www.google.com.br/maps/@-45.8709933191011,-23.1950423696629,20z
147,18;-23,195085;-45,871079;7359,000000;-45.8710791930726,-23.1950852278212;https://www.google.com.br/maps/@-45.8710791930726,-23.1950852278212,20z
147,19;-23,195128;-45,871165;7359,500000;-45.8711650310614,-23.1951280881564;https://www.google.com.br/maps/@-45.8711650310614,-23.1951280881564,20z
147,20;-23,195171;-45,871251;7360,000000;-45.8712506958333,-23.1951710071667;https://www.google.com.br/maps/@-45.8712506958333,-23.1951710071667,20z
147,21;-23,195214;-45,871336;7360,500000;-45.871336328674,-23.1952139357458;https://www.google.com.br/maps/@-45.871336328674,-23.1952139357458,20z
147,22;-23,195257;-45,871422;7361,000000;-45.8714218811602,-23.1952568749724;https://www.google.com.br/maps/@-45.8714218811602,-23.1952568749724,20z
147,23;-23,195300;-45,871508;7361,500000;-45.8715075442541,-23.1952999046961;https://www.google.com.br/maps/@-45.8715075442541,-23.1952999046961,20z
147,24;-23,195343;-45,871594;7362,000000;-45.8715935221547,-23.1953431919889;https://www.google.com.br/maps/@-45.8715935221547,-23.1953431919889,20z
147,25;-23,195386;-45,871679;7362,500000;-45.8716792665574,-23.1953862959016;https://www.google.com.br/maps/@-45.8716792665574,-23.1953862959016,20z
147,26;-23,195429;-45,871765;7363,000000;-45.8717647255738,-23.195429175683;https://www.google.com.br/maps/@-45.8717647255738,-23.195429175683,20z
147,27;-23,195472;-45,871851;7363,500000;-45.8718505813187,-23.1954721981319;https://www.google.com.br/maps/@-45.8718505813187,-23.1954721981319,20z
147,28;-23,195515;-45,871937;7364,000000;-45.8719366802198,-23.195515308022;https://www.google.com.br/maps/@-45.8719366802198,-23.195515308022,20z
147,29;-23,195558;-45,872023;7364,500000;-45.8720225076503,-23.1955580371038;https://www.google.com.br/maps/@-45.8720225076503,-23.1955580371038,20z
147,30;-23,195601;-45,872108;7365,000000;-45.8721082672131,-23.1956006709836;https://www.google.com.br/maps/@-45.8721082672131,-23.1956006709836,20z
147,31;-23,195643;-45,872194;7365,500000;-45.8721941320879,-23.1956428978571;https://www.google.com.br/maps/@-45.8721941320879,-23.1956428978571,20z
147,32;-23,195685;-45,872280;7366,000000;-45.8722800581215,-23.1956850335912;https://www.google.com.br/maps/@-45.8722800581215,-23.1956850335912,20z
147,33;-23,195727;-45,872366;7366,500000;-45.8723663122652,-23.1957267241989;https://www.google.com.br/maps/@-45.8723663122652,-23.1957267241989,20z
147,34;-23,195769;-45,872453;7367,000000;-45.8724525347778,-23.1957687636667;https://www.google.com.br/maps/@-45.8724525347778,-23.1957687636667,20z
