ID do NOX;Latitude;Longitude
Dados de teste 513;0;0
Dados de teste 514;-23,260829;-45,950113
Dados de teste 515;0;0
Dados de teste 516;-23,246239;-45,929025
Dados de teste 517;-23,454933;-46,473831
Dados de teste 518;0;0
Dados de teste 519;0;0
Dados de teste 520;0;0
Dados de teste 521;-22,488833;-44,553441
Dados de teste 522;-23,351814;-46,199901
Dados de teste 523;-23,197252;-45,876201
Dados de teste 524;-23,352011;-46,181125
Dados de teste 525;-23,173719;-45,827859
Dados de teste 526;-23,334262;-46,141201
Dados de teste 527;-23,260283;-45,949552
Dados de teste 528;-22,489018;-44,554119
Dados de teste 529;0;0
Dados de teste 530;-23,333344;-46,139395
Dados de teste 531;-23,4545;-46,472401
Dados de teste 532;-23,526015;-46,58841
Dados de teste 533;-23,455161;-46,474375
Dados de teste 534;0;0
Dados de teste 535;0;0
Dados de teste 536;-22,92952;-45,36087
Dados de teste 537;0;0
Dados de teste 538;0;0
Dados de teste 539;-22,494708;-44,570061
Dados de teste 540;0;0
Dados de teste 541;-23,469161;-46,511125
Dados de teste 542;-22,930203;-45,36159
Dados de teste 543;-23,332554;-46,137852
Dados de teste 544;0;0
Dados de teste 545;0;0
Dados de teste 546;-22,494708;-44,570061
Dados de teste 547;-23,490744;-46,549725
Dados de teste 548;0;0
Dados de teste 549;-23,455;-46,474602
Dados de teste 550;-22,93006;-45,36127
Dados de teste 551;0;0
Dados de teste 552;-22,49441;-44,56938
Dados de teste 553;-23,452;-46,473999
Dados de teste 554;0;0
Dados de teste 555;-23,234174;-45,915925
Dados de teste 556;-23,333478;-46,139654
Dados de teste 557;-23,331893;-46,136535
Dados de teste 558;-23,333723;-46,140154
Dados de teste 559;0;0
Dados de teste 560;-23,351815;-46,199881
Dados de teste 561;-23,352448;-46,200794
Dados de teste 562;-23,455017;-46,473433
Dados de teste 563;-23,43579;-46,427519
Dados de teste 564;-23,226569;-45,907518
Dados de teste 565;0;0
Dados de teste 566;-23,469761;-46,513075
Dados de teste 567;-23,332418;-46,137605
Dados de teste 568;0;0
Dados de teste 569;0;0
Dados de teste 570;-23,334174;-46,140985
Dados de teste 571;0;0
Dados de teste 572;0;0
Dados de teste 573;-23,455017;-46,473433
Dados de teste 574;-22,494786;-44,570291
